tf	score	n_a	n_b	n_shared	expected	replication_raw	replication
CEBPG	500	973	1223	819	10.850542536701012	0.7556956887474484	0.8399417067635001
GATAD1	500	4655	376	338	15.959514908361449	0.4857731334415065	0.8944563137383617
MAFK	500	1035	673	556	6.351372298714325	0.6816748139055782	0.824495251113866
IRF1	500	3678	5078	1773	170.30075681590225	0.415604337425879	0.45690896854921204
CXXC1	500	4394	3620	847	145.03765842983495	0.213370379497909	0.20200574065875568
GABPB1	500	5783	10976	5131	578.7745782802955	0.6773651197034235	0.8747171870613263
SMAD5	500	4536	786	668	32.50930974742409	0.49856954373493817	0.8433955435329327
ZIC2	500	2570	1384	1152	32.43257043858849	0.6403094847169429	0.8283474468785588
MAZ	500	7398	4512	3353	304.365605908635	0.5981800177448764	0.7245483111299919
E4F1	500	1256	3615	1165	41.40093006291602	0.6249080485591705	0.9250781576798722
RXRA	500	3637	2069	1625	68.61450715783715	0.6161001935826045	0.7780427814595069
TCF4	500	2251	1033	708	21.202543995623234	0.4999546291784699	0.67878946712968
TCF21	500	1226	1240	1216	13.86194948481809	0.9862442772193865	0.991750114604727
KDM5B	500	9717	10680	6643	946.2711771678672	0.6528254807686749	0.6495160137664155
SIX2	500	400	213	152	0.776876082793836	0.5468075117370892	0.7125666662799776
NFYB	500	4356	4987	4055	198.07943831494484	0.8720070024119644	0.9276080445659078
KLF4	500	2031	498	307	9.222558584845446	0.383811464469399	0.6092291013942894
ZNF143	500	5897	7332	4993	394.2445883103857	0.7638445824996686	0.8357186659469519
FOXM1	500	908	622	420	5.149776602534877	0.5688981118177826	0.6725299070373489
JUND	500	3976	4944	3137	179.24084982219387	0.7117451879562162	0.7790220641304811
GTF2F1	500	1360	1108	518	13.740129479347132	0.4241956891059673	0.4608227753803346
ETS1	500	5490	7758	4547	388.3598066928057	0.7071689086675204	0.8151574857754346
SMC3	500	4469	3562	2350	145.14979483906265	0.5927932130621214	0.6452873473442441
RUNX3	500	922	5302	836	44.5741223671013	0.5322004302391518	0.9019860227601116
HDAC2	500	1393	829	330	10.5297437767849	0.31748437171208443	0.39032604275370075
KDM2A	500	4877	0	0	0.0	0.0	0.0
SOX13	500	875	12	12	0.095741770766846	0.5068571428571429	1.0
CXXC5	500	3897	444	406	15.777040211543722	0.5092985595295064	0.9112611803468639
