tf	pick	reason	rep_at_pick	n_assign_at_pick	n_assign_strict
MCM3	250.0		0.7417815188234206	1560.0	49.0
MCM5		too few assignments			
MCM7	50.0		0.7701197200739227	8727.0	690.0
MECOM	500.0		0.8983076583499625	10523.0	10523.0
MECP2	500.0		0.8039383693931473	143.0	143.0
MED1	250.0		0.8231246536867152	18047.0	8349.0
MED12	400.0		0.9029713338729769	10754.0	9735.0
MEF2A	500.0		1.0	232.0	232.0
MEF2B	500.0		0.8304895376656182	1518.0	1518.0
MEF2C	50.0		0.7568748122336676	11494.0	701.0
MEF2D	50.0		0.7538129433859766	7070.0	212.0
MEIS1	150.0		0.6857560779044173	4346.0	229.0
MEIS2	50.0	peak below floor	0.4702822575848404	11518.0	146.0
MEN1	400.0		0.8947951205239894	69.0	50.0
MGA	250.0		0.6946775882915008	2850.0	827.0
MITF	500.0		0.8356194520340867	6781.0	6781.0
MKI67		too few assignments			
MLLT3		too few assignments			
MLX	500.0		0.955507277685989	119.0	119.0
MLXIP	400.0		0.8697613770695606	164.0	111.0
MNT	100.0		0.8245033208230055	15731.0	3728.0
MRE11		too few assignments			
MSX2		too few assignments			
MTA1	500.0		0.9217861397162054	543.0	543.0
MTA2	50.0		0.6708630459664259	10333.0	867.0
MTA3	400.0		0.6093267214060684	1106.0	648.0
MTF1		too few assignments			
MTF2	500.0		0.6996671477638049	498.0	498.0
MTOR	300.0		0.730638138314052	2756.0	1287.0
MXD1	50.0		0.6866432690431501	12154.0	568.0
MXD4	500.0	peak below floor	0.0	508.0	508.0
MXI1	300.0		0.942683350999189	1515.0	630.0
MYB	200.0		0.858492629188727	13694.0	6692.0
MYBBP1A	300.0		0.9623992762695154	1985.0	1211.0
MYBL2	50.0		0.6895304033182066	12924.0	1514.0
MYC	400.0		0.8026901585901023	22042.0	18189.0
MYCN	200.0		0.8107785802594091	26859.0	12006.0
MYNN	500.0		0.9099415548035859	89.0	89.0
MYOD1	400.0		0.8446508604494903	4704.0	3770.0
MYOG	500.0	peak below floor	0.0	54.0	54.0
MYRF	500.0	peak below floor	0.0	53.0	53.0
NANOG	300.0		0.8070579275600529	7471.0	3154.0
NBN	500.0		0.7662843622180263	266.0	266.0
NCOA1	500.0		0.7717097339095513	787.0	787.0
NCOA2	500.0		0.9134477433268452	220.0	220.0
NCOR1	50.0		0.6749942866062016	7443.0	481.0
NCOR2	400.0		0.9021213001525701	356.0	231.0
NEUROD1	250.0		0.7758853451540623	13932.0	8450.0
NFATC1	50.0	peak below floor	0.48010467455725925	9672.0	873.0
NFATC2	500.0		0.9165624362825207	137.0	137.0
NFATC3	200.0		0.8758537390189083	99.0	23.0
NFE2	250.0		0.9894932637071092	5574.0	2073.0
NFE2L1	50.0		0.5156547755980745	290.0	29.0
NFE2L2	300.0		0.5036827286449914	3377.0	2078.0
